Column,Model,Class_Code,Prop_Code,Valid,Class_Score,Prop_Score,accept
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P142_used_constituent,✗,"0,4832","0,6817",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P108_has_produced,✗,"0,4832","0,5976",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P1_is_identified_by,✓,"0,4832","0,571",✓
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P126_employed,✗,"0,4832","0,5705",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P136_was_based_on,✗,"0,4832","0,5613",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P186_produced_thing_of_product_type,✗,"0,4832","0,5595",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P35_has_identified,✗,"0,4832","0,5587",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P92_brought_into_existence,✗,"0,4832","0,5532",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P91_has_unit,✗,"0,4832","0,5501",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P65_shows_visual_item,✗,"0,4832","0,5465",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P142_used_constituent,✗,"0,4565","0,6817",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P108_has_produced,✗,"0,4565","0,5976",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P1_is_identified_by,✗,"0,4565","0,571",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P126_employed,✗,"0,4565","0,5705",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P136_was_based_on,✗,"0,4565","0,5613",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P186_produced_thing_of_product_type,✗,"0,4565","0,5595",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P35_has_identified,✗,"0,4565","0,5587",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P92_brought_into_existence,✗,"0,4565","0,5532",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P91_has_unit,✗,"0,4565","0,5501",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E58_Measurement_Unit,P65_shows_visual_item,✗,"0,4565","0,5465",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P142_used_constituent,✗,"0,4331","0,6817",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P108_has_produced,✗,"0,4331","0,5976",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P1_is_identified_by,✓,"0,4331","0,571",✓
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P126_employed,✗,"0,4331","0,5705",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P136_was_based_on,✗,"0,4331","0,5613",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P186_produced_thing_of_product_type,✗,"0,4331","0,5595",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P35_has_identified,✗,"0,4331","0,5587",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P92_brought_into_existence,✗,"0,4331","0,5532",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P91_has_unit,✗,"0,4331","0,5501",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E35_Title,P65_shows_visual_item,✗,"0,4331","0,5465",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P142_used_constituent,✗,"0,4282","0,6817",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P108_has_produced,✗,"0,4282","0,5976",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P1_is_identified_by,✗,"0,4282","0,571",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P126_employed,✗,"0,4282","0,5705",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P136_was_based_on,✗,"0,4282","0,5613",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P186_produced_thing_of_product_type,✗,"0,4282","0,5595",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P35_has_identified,✗,"0,4282","0,5587",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P92_brought_into_existence,✗,"0,4282","0,5532",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P91_has_unit,✗,"0,4282","0,5501",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P65_shows_visual_item,✓,"0,4282","0,5465",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P142_used_constituent,✗,"0,4273","0,6817",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P108_has_produced,✗,"0,4273","0,5976",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P1_is_identified_by,✗,"0,4273","0,571",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P126_employed,✗,"0,4273","0,5705",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P136_was_based_on,✗,"0,4273","0,5613",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P186_produced_thing_of_product_type,✗,"0,4273","0,5595",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P35_has_identified,✗,"0,4273","0,5587",✗
